benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
wut_x3,hierarchy_single,0.5115677143467592,0.007193188545708977,0.0065015435598907365,0.5115677143467592,0.007193188545708977,0.0065015435598907365
wut_z1,hierarchy_single,0.5371475473290013,0.10019917134598498,0.007026170077315425,0.5682897292528425,-4.781077693720354e-05,-5.4257887740482754e-05
wut_z2,hierarchy_single,0.8574717321804232,0.8082735217293935,0.7347114075995048,0.8574717321804232,0.8082735217293935,0.7347114075995048
wut_z3,hierarchy_single,0.8420768276993338,0.8356203215188884,0.7386922295975198,0.8420768276993338,0.8356203215188884,0.7386922295975198
fcps_atom,hierarchy_complete,0.6463108240622498,0.225193323048571,0.10501522861711947,0.6463208536267595,0.2156507844605592,0.0955069287609234
fcps_chainlink,hierarchy_complete,0.8188796461288896,0.6114300100186176,0.630081424714089,0.6480094790409535,0.2517250186656456,0.13343723857848694
fcps_engytime,hierarchy_complete,0.6543737190724017,0.13921127070415665,0.040580394647764036,0.6288677247388281,0.15698170457352256,0.10529562017004053
fcps_hepta,hierarchy_complete,0.6768444490673633,0.8022661416855787,0.5953563584869891,0.6878459907770911,0.8022484144958265,0.6210684815479804
fcps_lsun,hierarchy_complete,0.6272042686658551,0.5293461604943088,0.4046129609519585,0.6036678468609274,0.517966151437387,0.3674602089584634
fcps_target,hierarchy_complete,0.6628431789001208,0.3766182471035926,0.20668429967227592,0.6786068966168969,0.4483834682420661,0.39131970637749003
fcps_tetra,hierarchy_complete,0.6786893701304267,0.6546586169115348,0.5635956254404395,0.6786893701304267,0.6546586169115348,0.5635956254404395
fcps_twodiamonds,hierarchy_complete,0.982612329858522,0.9362430372326476,0.9652627874539742,0.5790901138990516,0.0064587544278460534,0.005176408064608862
fcps_wingnut,hierarchy_complete,1.0,1.0,1.0,0.7532137398534419,0.5049079404562821,0.4823983634356411
graves_dense,hierarchy_complete,0.6706602981350002,0.3483859817667268,0.25726379274425304,0.748454112948881,0.4986855540574426,0.4737094773698221
graves_fuzzyx,hierarchy_complete,0.7297624048016303,0.7404906029403211,0.6537153620843622,0.6896044240608147,0.7290914786602949,0.5985583584742282
graves_line,hierarchy_complete,0.6055424924764449,0.13784735633178807,-0.07099606018139043,0.6055424924764449,0.13784735633178807,-0.07099606018139043
graves_parabolic,hierarchy_complete,0.7959202627607608,0.5053025223031431,0.5894172260137619,0.7829106792458296,0.4680139961991162,0.5650704256714494
graves_ring,hierarchy_complete,0.6603401814099571,0.3133717275888454,0.2092049530222248,0.6603401814099571,0.3133717275888454,0.2092049530222248
graves_zigzag,hierarchy_complete,0.5042255054319401,0.341197142150902,0.13012848648665712,0.5237800213363413,0.4081004066886362,0.19583012799446947
myOwn_3distr,hierarchy_complete,0.9425713577219278,0.9065758845980066,0.9138794914572516,0.970547841477771,0.9438214955809652,0.9558801782834456
